month,tone,frequency,department
2019-07,Negative without reposts,0.40555555555555556,Atlántico
2019-07,Neutral without reposts,0.23333333333333334,Atlántico
2019-07,Positive without reposts,0.15555555555555556,Atlántico
2019-08,Negative,0.8495297805642633,Atlántico
2019-08,Neutral,0.48589341692789967,Atlántico
2019-08,Positive,0.29153605015673983,Atlántico
2019-08,Negative without reposts,1.0,Atlántico
2019-08,Neutral without reposts,0.38333333333333336,Atlántico
2019-08,Positive without reposts,0.24444444444444444,Atlántico
2019-09,Negative,0.5454545454545454,Atlántico
2019-09,Neutral,0.3605015673981191,Atlántico
2019-09,Positive,0.25705329153605017,Atlántico
2019-09,Negative without reposts,0.7555555555555555,Atlántico
2019-09,Neutral without reposts,0.35,Atlántico
2019-09,Positive without reposts,0.2611111111111111,Atlántico
2019-10,Negative,0.3667711598746082,Atlántico
2019-10,Neutral,0.30094043887147337,Atlántico
2019-10,Positive,0.16300940438871472,Atlántico
2019-10,Negative without reposts,0.5666666666666667,Atlántico
2019-10,Neutral without reposts,0.3055555555555556,Atlántico
2019-10,Positive without reposts,0.2,Atlántico
2019-11,Negative,1.0,Atlántico
2019-11,Neutral,0.2413793103448276,Atlántico
2019-11,Positive,0.20376175548589343,Atlántico
2019-11,Negative without reposts,0.8111111111111111,Atlántico
2019-11,Neutral without reposts,0.3111111111111111,Atlántico
2019-11,Positive without reposts,0.25555555555555554,Atlántico
2019-12,Negative,0.335423197492163,Atlántico
2019-12,Neutral,0.1724137931034483,Atlántico
2019-12,Positive,0.14733542319749215,Atlántico
2019-12,Negative without reposts,0.4222222222222222,Atlántico
2019-12,Neutral without reposts,0.16666666666666666,Atlántico
2019-12,Positive without reposts,0.11666666666666667,Atlántico
2020-01,Negative,0.4106583072100313,Atlántico
2020-01,Neutral,0.21630094043887146,Atlántico
2020-01,Positive,0.14420062695924765,Atlántico
2020-01,Negative without reposts,0.5111111111111111,Atlántico
2020-01,Neutral without reposts,0.19444444444444445,Atlántico
2020-01,Positive without reposts,0.13333333333333333,Atlántico
2020-02,Negative,0.46394984326018807,Atlántico
2020-02,Neutral,0.16614420062695925,Atlántico
2020-02,Positive,0.13793103448275862,Atlántico
2020-02,Negative without reposts,0.4888888888888889,Atlántico
2020-02,Neutral without reposts,0.18888888888888888,Atlántico
2020-02,Positive without reposts,0.17777777777777778,Atlántico
2020-03,Negative,0.6175548589341693,Atlántico
2020-03,Neutral,0.11912225705329153,Atlántico
2020-03,Positive,0.12539184952978055,Atlántico
2020-03,Negative without reposts,0.6833333333333333,Atlántico
2020-03,Neutral without reposts,0.08888888888888889,Atlántico
2020-03,Positive without reposts,0.17777777777777778,Atlántico
2020-04,Negative,0.6833855799373041,Atlántico
2020-04,Neutral,0.664576802507837,Atlántico
2020-04,Positive,0.36990595611285265,Atlántico
2020-04,Negative without reposts,0.6222222222222222,Atlántico
2020-04,Neutral without reposts,0.4222222222222222,Atlántico
2020-04,Positive without reposts,0.28888888888888886,Atlántico
2018-01,Negative,0.04894117647058824,Bogotá Distrito Capital
2018-01,Neutral,0.028862745098039214,Bogotá Distrito Capital
2018-01,Positive,0.02666666666666667,Bogotá Distrito Capital
2018-01,Negative without reposts,0.07271391847227322,Bogotá Distrito Capital
2018-01,Neutral without reposts,0.04149834741094381,Bogotá Distrito Capital
2018-01,Positive without reposts,0.0297466030113845,Bogotá Distrito Capital
2018-02,Negative,0.12784313725490196,Bogotá Distrito Capital
2018-02,Neutral,0.10792156862745098,Bogotá Distrito Capital
2018-02,Positive,0.058980392156862745,Bogotá Distrito Capital
2018-02,Negative without reposts,0.1538744032317297,Bogotá Distrito Capital
2018-02,Neutral without reposts,0.11421226588321703,Bogotá Distrito Capital
2018-02,Positive without reposts,0.07014322438486963,Bogotá Distrito Capital
2018-03,Negative,0.08862745098039215,Bogotá Distrito Capital
2018-03,Neutral,0.0487843137254902,Bogotá Distrito Capital
2018-03,Positive,0.03152941176470588,Bogotá Distrito Capital
2018-03,Negative without reposts,0.14542783694454645,Bogotá Distrito Capital
